,DateTime,temperature,power,energy,aX,aY,aZ,gX,gY,gZ
352,2021-05-25 15:34:00.607,,,,,,,,-0.1,
353,2021-05-25 15:34:00.616,,,,,,,,,-0.0
354,2021-05-25 15:34:01.172,,,,1.0,,,,,
355,2021-05-25 15:34:01.248,,,,,-0.1,,,,
356,2021-05-25 15:34:01.266,,,,,,-0.1,,,
357,2021-05-25 15:34:01.275,,,,,,,0.1,,
358,2021-05-25 15:34:01.287,,,,,,,,-0.0,
359,2021-05-25 15:34:01.299,,,,,,,,,0.0
360,2021-05-25 15:34:01.807,,,,1.0,,,,,
361,2021-05-25 15:34:01.870,,,,,-0.1,,,,
362,2021-05-25 15:34:01.886,,,,,,-0.1,,,
363,2021-05-25 15:34:01.899,,,,,,,0.0,,
364,2021-05-25 15:34:01.916,,,,,,,,0.0,
365,2021-05-25 15:34:01.927,,,,,,,,,0.0
366,2021-05-25 15:34:02.435,,,,1.0,,,,,
367,2021-05-25 15:34:02.465,,,,,-0.1,,,,
368,2021-05-25 15:34:02.486,,,,,,-0.1,,,
369,2021-05-25 15:34:02.499,,,,,,,-0.0,,
370,2021-05-25 15:34:02.511,,,,,,,,0.1,
371,2021-05-25 15:34:02.519,,,,,,,,,0.0
372,2021-05-25 15:34:03.070,,,,1.0,,,,,
373,2021-05-25 15:34:03.134,,,,,-0.1,,,,
374,2021-05-25 15:34:03.147,,,,,,-0.1,,,
375,2021-05-25 15:34:03.160,,,,,,,-0.0,,
376,2021-05-25 15:34:03.166,,,,,,,,-0.2,
377,2021-05-25 15:34:03.184,,,,,,,,,-0.0
378,2021-05-25 15:34:03.709,,,,1.0,,,,,
379,2021-05-25 15:34:03.767,,,,,-0.0,,,,
380,2021-05-25 15:34:03.779,,,,,,0.2,,,
381,2021-05-25 15:34:03.786,,,,,,,4.1,,
382,2021-05-25 15:34:03.796,,,,,,,,92.2,
383,2021-05-25 15:34:03.819,,,,,,,,,1.4
384,2021-05-25 15:34:04.010,,0.00,,,,,,,
385,2021-05-25 15:34:04.075,,,23259,,,,,,
386,2021-05-25 15:34:04.096,30.54,,,,,,,,
387,2021-05-25 15:34:04.317,,,,0.4,,,,,
388,2021-05-25 15:34:04.341,,,,,-0.0,,,,
389,2021-05-25 15:34:04.386,,,,,,1.1,,,
390,2021-05-25 15:34:04.437,,,,,,,3.0,,
391,2021-05-25 15:34:04.476,,,,,,,,69.9,
392,2021-05-25 15:34:04.516,,,,,,,,,0.8
393,2021-05-25 15:34:04.970,,,,0.0,,,,,
394,2021-05-25 15:34:04.997,,,,,0.0,,,,
395,2021-05-25 15:34:05.011,,,,,,1.0,,,
396,2021-05-25 15:34:05.017,,,,,,,1.4,,
397,2021-05-25 15:34:05.028,,,,,,,,1.1,
398,2021-05-25 15:34:05.045,,,,,,,,,-0.3
399,2021-05-25 15:34:05.601,,,,0.1,,,,,
400,2021-05-25 15:34:05.661,,,,,-0.0,,,,
401,2021-05-25 15:34:05.676,,,,,,1.1,,,
402,2021-05-25 15:34:05.692,,,,,,,-0.3,,
403,2021-05-25 15:34:05.696,,,,,,,,-0.5,
404,2021-05-25 15:34:05.710,,,,,,,,,0.1
405,2021-05-25 15:34:06.226,,,,0.1,,,,,
406,2021-05-25 15:34:06.286,,,,,-0.0,,,,
407,2021-05-25 15:34:06.296,,,,,,1.1,,,
408,2021-05-25 15:34:06.309,,,,,,,0.2,,
409,2021-05-25 15:34:06.327,,,,,,,,-0.1,
410,2021-05-25 15:34:06.336,,,,,,,,,0.0
411,2021-05-25 15:34:06.857,,,,0.1,,,,,
412,2021-05-25 15:34:06.919,,,,,-0.0,,,,
413,2021-05-25 15:34:06.926,,,,,,1.1,,,
414,2021-05-25 15:34:06.947,,,,,,,0.0,,
415,2021-05-25 15:34:06.959,,,,,,,,0.1,
416,2021-05-25 15:34:06.966,,,,,,,,,0.1
417,2021-05-25 15:34:07.486,,,,0.1,,,,,
418,2021-05-25 15:34:07.549,,,,,-0.0,,,,
419,2021-05-25 15:34:07.566,,,,,,1.1,,,
420,2021-05-25 15:34:07.576,,,,,,,-0.0,,
421,2021-05-25 15:34:07.591,,,,,,,,0.0,
422,2021-05-25 15:34:07.596,,,,,,,,,-0.1
423,2021-05-25 15:34:08.115,,,,0.1,,,,,
424,2021-05-25 15:34:08.165,,,,,-0.0,,,,
425,2021-05-25 15:34:08.177,,,,,,1.1,,,
426,2021-05-25 15:34:08.189,,,,,,,-0.0,,
427,2021-05-25 15:34:08.196,,,,,,,,-0.0,
428,2021-05-25 15:34:08.215,,,,,,,,,0.2
429,2021-05-25 15:34:08.742,,,,0.1,,,,,
430,2021-05-25 15:34:08.766,,,,,-0.0,,,,
431,2021-05-25 15:34:08.790,,,,,,1.1,,,
